numidx,peaks_0,peaks_1,peaks_2,peaks_3,peaks_4,tapes_0,tapes_1,tapes_2,tapes_3,tapes_4,coef0_0,coef0_1,coef0_2,coef0_3,coef0_4,coef1_0,coef1_1,coef1_2,coef1_3,coef1_4
873,592,1294,2068,2918,3760,889,971,977,1185,1373,222.274,185.53,186.91,184.5,188.493,-0.0159358,0.0146609,-0.000681875,0.0146084,0.0124982
874,595,1299,2066,2917,3757,888,974,976,1170,1374,218.932,199.579,187.9,185.519,190.034,-0.0159058,-0.00352908,0.000280244,0.0147685,0.0138339
875,585,1291,2062,2925,3763,887,974,976,1169,1372,226.838,196.459,190.737,179.556,187.031,-0.0144406,0.00665244,0.00119645,0.0115482,0.0108572
876,582,1297,2065,2924,3761,887,974,976,1169,1372,228.894,198.251,188.658,180.27,188.61,-0.013532,-0.000638435,0.000280476,0.0125836,0.0116634
877,585,1295,2069,2925,3757,888,975,975,1169,1373,228.162,195.585,186.337,179.195,189.954,-0.0139092,0.00491891,-0.000732959,0.0127345,0.0131023
878,587,1292,2067,2914,3756,887,974,975,1172,1373,226.949,199.092,187.594,187.835,190.046,-0.0147084,0.00431104,0.000221818,0.0150505,0.0141167
879,584,1294,2076,2925,3763,887,976,975,1169,1372,228.285,202.052,181.28,179.512,186.571,-0.0134759,-0.00134766,-0.00203405,0.0118065,0.0104771
880,597,1299,2066,2925,3762,888,976,975,1169,1372,218.117,199.614,188.022,179.701,187.191,-0.0162886,-0.00335863,3.03483e-05,0.0119702,0.0106867
881,600,1299,2070,2925,3757,889,974,975,1169,1373,216.251,198.362,185.552,179.219,189.408,-0.0170794,-0.00191903,-0.00113311,0.0119598,0.0135924
882,597,1302,2067,2918,3771,887,976,974,1170,1372,217.367,197.111,187.115,184.451,180.899,-0.0169895,-0.00466763,-4.22581e-05,0.0144856,0.00863486
883,596,1291,2065,2915,3762,888,974,977,1185,1373,219.172,204.671,188.669,187.592,186.867,-0.0159399,-0.00107657,0.000359678,0.0142556,0.011348
884,601,1298,2067,2925,3759,889,975,976,1169,1373,215.509,199.326,187.393,179.905,188.52,-0.0173203,-0.00217956,-0.000221242,0.0120418,0.0129291
885,601,1297,2066,2918,3762,889,974,976,1169,1373,215.757,201.962,188.003,184.896,187.257,-0.0176456,-0.00346419,2.99888e-05,0.014413,0.0108915
886,601,1304,2066,2918,3761,888,975,975,1169,1372,215.903,196.873,188.429,184.753,187.491,-0.0174179,-0.00482274,-0.000212874,0.0145142,0.011589
887,594,1299,2065,2926,3762,888,976,977,1168,1372,221.287,200.672,189.138,179.361,186.484,-0.0156513,-0.00395379,0.00026007,0.0115836,0.0118128
888,588,1299,2069,2916,3760,888,973,975,1169,1373,225.839,201.563,186.482,186.385,188.443,-0.014618,-0.00516576,-0.0005826,0.0146779,0.0121843
889,587,1298,2066,2923,3761,887,975,975,1168,1373,226.633,199.581,188.138,181.008,187.553,-0.0147236,-0.00232501,-9.81621e-05,0.0124341,0.0117229
890,590,1300,2073,2915,3761,888,975,975,1173,1373,226.256,201.34,183.699,187.024,186.725,-0.014742,-0.00457726,-0.000594431,0.0146753,0.0116157
891,586,1291,2066,2920,3763,888,974,975,1170,1373,227.221,195.539,188.227,183.399,185.868,-0.0139564,0.00895482,7.15508e-05,0.0136853,0.011925
892,590,1292,2067,2918,3761,887,974,976,1169,1372,224.479,205.053,187.252,184.913,187.671,-0.0147803,-0.00216274,0.000388995,0.0144545,0.011248
893,587,1297,2068,2924,3760,886,974,975,1170,1373,225.701,200.418,186.416,180.72,188.203,-0.0149811,-0.00285418,-0.000390532,0.0116385,0.0128261
894,594,1301,2067,2925,3761,889,975,978,1169,1372,223.275,199.182,187.855,179.432,186.565,-0.014927,-0.00289003,0.000571001,0.0119989,0.0113968
895,598,1298,2070,2924,3763,889,975,975,1169,1371,217.516,199.53,185.936,180.445,186.289,-0.0156387,-0.00155748,-0.00112692,0.0125529,0.0105932
896,597,1297,2065,2925,3755,889,975,976,1168,1374,219.191,201.6,188.765,178.409,190.429,-0.016119,-0.00284709,0.00081758,0.0128562,0.0135147
897,597,1285,2068,2923,3756,889,974,976,1169,1373,221.078,204.489,187.527,180.722,189.321,-0.0153055,0.00808151,-0.000337124,0.012696,0.0131479
898,589,1296,2062,2923,3755,887,974,977,1168,1373,226.013,181.65,191.192,180.394,189.944,-0.0145048,0.0184637,0.00142293,0.0136688,0.014509
899,588,1292,2063,2924,3769,887,976,976,1168,1372,226.815,206.645,190.17,179.839,181.746,-0.0144726,-0.00283938,0.00139463,0.0129453,0.00848675
900,600,1298,2070,2915,3760,889,975,976,1201,1372,217.138,192.714,185.207,187.165,188.112,-0.016655,0.00518489,0.000124064,0.014584,0.0116117
901,590,1294,2069,2917,3759,888,975,976,1169,1371,227.09,205.359,187.053,185.691,188.393,-0.014044,-0.00179623,-0.000399087,0.0140742,0.0111499
902,595,1289,2069,2922,3762,888,976,975,1168,1372,221.687,209.709,186.459,182.117,186.465,-0.0154604,-0.00255603,-0.000502233,0.012487,0.0111033
